id,indicator,seriesdescription,country,year,value,time_detail,source,footnote,units
greece2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Greece,2015,1906.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
united kingdom2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),United Kingdom,2015,6303.8,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
slovakia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Slovakia,2015,335.3,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
serbia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Serbia,2015,895.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
denmark2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Denmark,2015,375.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
denmark2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Denmark,2015,317.8,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
serbia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Serbia,2015,762.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
hungary2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Hungary,2015,1206.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
ireland2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Ireland,2015,405.3,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
lithuania2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Lithuania,2015,232.9,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
czechia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Czechia,2015,770.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
estonia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Estonia,2015,100.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
luxembourg2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Luxembourg,2015,26.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
portugal2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Portugal,2015,1352.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
lithuania2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Lithuania,2015,333.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
bosnia and herzegovina2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Bosnia and Herzegovina,2015,323.3,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
estonia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Estonia,2015,116.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
croatia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Croatia,2015,267.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
germany2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Germany,2015,2378.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
luxembourg2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Luxembourg,2015,31.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
france2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),France,2015,5265.3,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
ireland2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Ireland,2015,461.9,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
croatia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Croatia,2015,211.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
spain2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Spain,2015,2690.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
norway2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Norway,2015,299.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
albania2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Albania,2015,1056.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
montenegro2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Montenegro,2015,79.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
france2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),France,2015,3673.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
albania2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Albania,2015,1182.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
sweden2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Sweden,2015,442.3,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
greece2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Greece,2015,1700.8,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
spain2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Spain,2015,3722.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
netherlands2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Netherlands,2015,892.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
norway2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Norway,2015,247.9,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
hungary2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Hungary,2015,1057.6,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
switzerland2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Switzerland,2015,266.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
italy2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Italy,2015,3943.4,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
italy2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Italy,2015,5493.0,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
lithuania2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Lithuania,2015,283.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
czechia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Czechia,2015,492.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
france2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),France,2015,4469.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
italy2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Italy,2015,4718.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
hungary2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Hungary,2015,909.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
albania2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Albania,2015,1119.1,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
united kingdom2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),United Kingdom,2015,7091.5,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
estonia2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Estonia,2015,133.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
germany2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Germany,2015,3017.9,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
netherlands2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Netherlands,2015,1050.2,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
greece2015,2.1.2,Adult population in moderate or severe food insecurity (thousands of people),Greece,2015,1495.7,2015,Food and Agriculture Organisation of the United Nations (FAO),The observation value represents the 3-year average of the period 2014-2016.,NUM_TH
